Master_CDF,feeder_voltage,feeder_max_hc,feeder_min_hc,feeder_dg_connected_since_refresh,hca_refresh_date,color,shape_length
36_01_4661,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.075996806
36_01_4662,4.16,1.95,0.3,0,2022/10/01 00:00:00+00,turquoise,0.060111459
36_01_4663,4.16,1.9,1.2,0,2022/10/01 00:00:00+00,turquoise,0.058480671
36_01_4664,4.16,1.82,1,0,2022/10/01 00:00:00+00,turquoise,0.027413099
36_01_4666,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.104360257
36_01_4667,4.16,2.16,0.3,0,2022/10/01 00:00:00+00,light blue,0.074431901
36_01_4668,4.16,1.81,0.2,0,2022/10/01 00:00:00+00,turquoise,0.064830872
36_01_4669,4.16,1.79,0.7,0,2022/10/01 00:00:00+00,turquoise,0.019913368
36_01_4671,4.16,2.16,0.2,0,2022/10/01 00:00:00+00,light blue,0.071901284
36_01_4672,4.16,1.85,0.1,0,2022/10/01 00:00:00+00,turquoise,0.063615827
36_01_4761,4.16,1.92,0.1,0,2022/10/01 00:00:00+00,turquoise,0.121011586
36_01_4763,4.16,2.38,0.4,0,2022/10/01 00:00:00+00,light blue,0.083090744
36_01_4764,4.16,1.92,1.6,0,2022/10/01 00:00:00+00,turquoise,0.019619327
36_01_4765,4.16,1.92,1.6,0,2022/10/01 00:00:00+00,turquoise,0.017721531
36_01_4767,4.16,1.92,0.2,0,2022/10/01 00:00:00+00,turquoise,0.069399295
36_01_4768,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.067910213
36_01_4861,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.006952177
36_01_4862,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.024940816
36_01_4863,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.030679612
36_01_4864,4.16,1.92,0.2,0,2022/10/01 00:00:00+00,turquoise,0.049089161
36_01_4865,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.022894746
36_01_4866,4.16,1.92,0.1,0,2022/10/01 00:00:00+00,turquoise,0.050203086
36_01_4868,4.16,1.92,0.7,0,2022/10/01 00:00:00+00,turquoise,0.022374859
36_01_4869,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.034814077
36_01_4962,4.16,1.92,0.3,0,2022/10/01 00:00:00+00,turquoise,0.02817043
36_01_4964,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.067241851
36_01_4965,4.16,1.9,0.4,0,2022/10/01 00:00:00+00,turquoise,0.013318446
36_01_4966,4.16,2.21,0.4,0,2022/10/01 00:00:00+00,light blue,0.012515876
36_01_4967,4.16,2.16,0.7,0,2022/10/01 00:00:00+00,light blue,0.017285113
36_01_4968,4.16,1.78,0.7,0,2022/10/01 00:00:00+00,turquoise,0.028587877
36_01_4969,4.16,2.21,2.21,0,2022/10/01 00:00:00+00,light blue,0.005145524
36_01_4971,4.16,1.84,0.4,0,2022/10/01 00:00:00+00,turquoise,0.026060919
36_01_4973,4.16,1.77,0.4,0,2022/10/01 00:00:00+00,turquoise,0.037030927
36_01_4991,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.024344021
36_01_4993,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.021292285
36_01_5161,4.16,2.16,0.2,0,2022/10/01 00:00:00+00,light blue,0.040614651
36_01_5162,4.16,1.82,0.4,0,2022/10/01 00:00:00+00,turquoise,0.034028504
36_01_5163,4.16,1.49,0.4,0,2022/10/01 00:00:00+00,green,0.012096478
36_01_5164,4.16,1.95,0.9,0,2022/10/01 00:00:00+00,turquoise,0.019584302
36_01_5165,4.16,1.87,0.4,0,2022/10/01 00:00:00+00,turquoise,0.038630195
36_01_5166,4.16,1.87,0.4,0,2022/10/01 00:00:00+00,turquoise,0.035717104
36_01_5168,4.16,1.48,0.1,0,2022/10/01 00:00:00+00,green,0.039695252
36_01_5169,4.16,1.9,0.6,0,2022/10/01 00:00:00+00,turquoise,0.039819032
36_01_5261,4.16,2.16,1.4,0,2022/10/01 00:00:00+00,light blue,0.009286324
36_01_5262,4.16,2.16,0.9,0,2022/10/01 00:00:00+00,light blue,0.017478624
36_01_5264,4.16,2.16,0.2,0,2022/10/01 00:00:00+00,light blue,0.050780475
36_01_5266,4.16,2.16,0.8,0,2022/10/01 00:00:00+00,light blue,0.008955903
36_01_5267,4.16,2.16,0.5,0,2022/10/01 00:00:00+00,light blue,0.033127118
36_01_5268,4.16,2.31,0.3,0,2022/10/01 00:00:00+00,light blue,0.044691678
36_01_5269,4.16,2.16,0.7,0,2022/10/01 00:00:00+00,light blue,0.034105269
36_01_5271,4.16,2.16,1.1,0,2022/10/01 00:00:00+00,light blue,0.01203952
36_01_5272,4.16,2.16,0.3,0,2022/10/01 00:00:00+00,light blue,0.030388331
36_01_5361,4.16,1.92,0.5,0,2022/10/01 00:00:00+00,turquoise,0.048656142
36_01_5362,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.05900077
36_01_5363,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.033478434
36_01_5364,4.16,1.92,0.9,0,2022/10/01 00:00:00+00,turquoise,0.062096757
